PE:ABRAHAM GONZÁLEZ:CIVIL:SAUL BARRAZA NUÑEZ:HOMBRE:8:1
PELJ:ABRAHAM GONZÁLEZ:PENAL:FERNANDO MANUEL ROCHA MARQUEZ:HOMBRE:8:1
PL:ABRAHAM GONZÁLEZ:PENAL:ROCIO MARGARITA VILLALOBOS GALLEGOS:MUJER:8:1
PJ:ABRAHAM GONZÁLEZ:PENAL:HORTENCIA VILLALOBOS MARTINEZ:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:MIXTO:LAURA YADIRA ORTA PEREZ:MUJER:8:1
EF:ANDRÉS DEL RÍO:PENAL:SERGIO CHAIREZ COS:HOMBRE:8:1
EF:ANDRÉS DEL RÍO:MIXTO:ROCIO NAYELI BLANCO BADILLO:MUJER:8:1
PL:ANDRÉS DEL RÍO:MIXTO:SONIA HAIDEE AGUIRRE RODRIGUEZ:MUJER:8:1
PJ:ANDRES DEL RIO:MIXTO:HELNA GUADALUPE CASTILLO RABAGO:MUJER:8:1
PELJ:ANDRES DEL RIO:MIXTO:OMAR MARTINEZ RICO:HOMBRE:8:1
EF:ANDRÉS DEL RÍO:MENOR:BRODY GERARDO CRUZ GILL:HOMBRE:8:1
PL:ANDRÉS DEL RÍO:MENOR:FRANCISCO ERYLEN LOPEZ RAMIREZ:HOMBRE:8:1
PJ:ARTEAGA:MENOR:USBALDO MEDINA FONTES:HOMBRE:8:1
PELJ:ARTEAGA:MENOR:NEYRA ANGELICA TORRES RAMIREZ:MUJER:8:1
EF:ARTEAGA:MENOR:URBANO OCHOA CONTRERAS:HOMBRE:8:1
EF:ARTEAGA:MIXTO:JOSE MARTIN CRUZ GIL:HOMBRE:8:1
EF:BENITO JUÁREZ:PENAL:KARLA LILIANA ALANIS FIERRO:MUJER:8:1
PELJ:BENITO JUÁREZ:PENAL:HECTOR ALFREDO ALVAREZ JARAMILLO:HOMBRE:8:1
PEJ:BENITO JUÁREZ:PENAL:MILTON IGNACIO ALVIDREZ ARANA:HOMBRE:8:1
PELJ:BENITO JUÁREZ:PENAL:CARLA JANNET CARO GARCÍA:MUJER:8:1
PL:BENITO JUÁREZ:PENAL:JESUS MANUEL CARRASCO CHACON:HOMBRE:8:1
PEL:BENITO JUÁREZ:PENAL:EDGAR CHAPARRO VENZOR:HOMBRE:8:1
PEJ:BENITO JUÁREZ:PENAL:SAGID DANIEL OLIVAS:HOMBRE:8:1
PEJ:BENITO JUÁREZ:PENAL:OLIVIA DIAZ GOMEZ:MUJER:8:1
PELJ:BENITO JUÁREZ:PENAL:OSCAR JAN ERNSTSSON HERNANDEZ:HOMBRE:8:1
EF:BENITO JUAREZ:PENAL:ANA VIOLETA ESTRADA DOMINGUEZ:MUJER:8:1
PELJ:BENITO JUÁREZ:PENAL:CESAR AARON FLORES PALACIOS:HOMBRE:8:1
PJ:BENITO JUÁREZ:PENAL:JOSE LUIS FRANCO BAYLON:HOMBRE:8:1
PEL:BENITO JUÁREZ:PENAL:SILVIA GONZALEZ GUTIÉRREZ:MUJER:8:1
PELJ:BENITO JUÁREZ:PENAL:ALMA JULIETA LASTRA GARCIA:MUJER:8:1
PELJ:BENITO JUÁREZ:PENAL:HUGO ALEXANDRO LOPEZ GONZALEZ:HOMBRE:8:1
PL:BENITO JUÁREZ:PENAL:VICTOR MANUEL MAZCORRO AGUIRRE:HOMBRE:8:1
PL:BENITO JUÁREZ:PENAL:SILVIA JANNETH MERAZ RASCON:MUJER:8:1
PLJ:BENITO JUÁREZ:PENAL:SAMUEL NAJERA GUILLEN:HOMBRE:8:1
EF:BENITO JUAREZ:PENAL:ERIK SALVADOR NEVAREZ ESTRADA:HOMBRE:8:1
PJ:BENITO JUÁREZ:PENAL:PERLA LILIANA PASTRANO CHAVEZ:MUJER:8:1
PE:BENITO JUÁREZ:PENAL:LAURA ROCIO PEREZ GUIRADO:MUJER:8:1
PJ:BENITO JUÁREZ:PENAL:ANA KAREN RAMOS ORTIZ:MUJER:8:1
PJ:BENITO JUÁREZ:PENAL:NAYELY REYES ZAMARRON:MUJER:8:1
PJ:BENITO JUÁREZ:PENAL:DALIA IVETH REYES ZAMARRON:MUJER:8:1
PELJ:BENITO JUÁREZ:PENAL:ANDRE FERNANDO ROMO NÁJERA:HOMBRE:8:1
PELJ:BENITO JUÁREZ:PENAL:MONICA LOURDES VAZQUEZ SALINAS:MUJER:8:1
EF:BENITO JUAREZ:CIVIL:VICTOR BARTOLO PORTILLO:HOMBRE:8:1
PELJ:BENITO JUÁREZ:CIVIL:CECILIA LIZETH GAYTAN MONTOYA:MUJER:8:1
PELJ:BENITO JUÁREZ:CIVIL:EDGAR DANIEL HERRERA MANRIQUEZ:HOMBRE:8:1
EF:BENITO JUAREZ:CIVIL:IMELDA PATRICIA IBARRA TALAMANTES:MUJER:8:1
PELJ:BENITO JUÁREZ:CIVIL:MARIO ALBERTO LEYVA FLORES:HOMBRE:8:1
PELJ:BENITO JUÁREZ:CIVIL:LUIS ARMANDO PORTILLO CHAVIRA:HOMBRE:8:1
EF:BENITO JUAREZ:CIVIL:MARCO ANTONIO VAZQUEZ MIRAMONTES:HOMBRE:8:1
PELJ:BENITO JUÁREZ:FAMILIAR:JESUS ROBERTO CENDON MUÑOZ:HOMBRE:8:1
PELJ:BENITO JUÁREZ:FAMILIAR:MARISSA ESTRADA HERRERA:MUJER:8:1
PL:BENITO JUÁREZ:FAMILIAR:GABRIELA ALEJANDRA MIER MADRID:MUJER:8:1
EF:BENITO JUAREZ:FAMILIAR:PEDRO HUMBERTO MUÑOZ ARELLANO:HOMBRE:8:1
PEJ:BENITO JUÁREZ:FAMILIAR:ALONDRA GISEL ORTIZ ONTIVEROS:MUJER:8:1
PELJ:BENITO JUÁREZ:FAMILIAR:ROGELIO IVÁN PÉREZ PÉREZ:HOMBRE:8:1
PEJ:BENITO JUÁREZ:LABORAL:NISTHYALY GUTIERREZ WISSAR:MUJER:8:1
PE:BENITO JUÁREZ:LABORAL:ERICK MARTINEZ RUIZ:HOMBRE:8:1
PL:BENITO JUÁREZ:LABORAL:NANCY YANETH MERAZ BUSTILLOS:MUJER:8:1
PJ:BENITO JUÁREZ:LABORAL:PEDRO MORALES LERMA:HOMBRE:8:1
EF:BENITO JUAREZ:LABORAL:SILVIA KARINA NERI CARRILLO:MUJER:8:1
PELJ:BENITO JUÁREZ:MENOR:MARIO ADRIAN NUÑEZ NAVARRETE:HOMBRE:8:1
PE:BENITO JUÁREZ:MENOR:ERNESTO PARRA AGUIRRE:HOMBRE:8:1
EF:BENITO JUAREZ:MENOR:IRMA LOZANO HERNANDEZ:MUJER:8:1
PEJ:BRAVOS:PENAL:NORMA ANGELICA AGUILAR CASTAÑEDA:MUJER:8:1
EF:BRAVOS:PENAL:HUGO OSCAR ALONSO GONZALEZ:HOMBRE:8:1
PJ:BRAVOS:PENAL:ANDRES HAKKEM ALVARADO JUAREZ:HOMBRE:8:1
PJ:BRAVOS:PENAL:ANGELICA LIZBETH ALVAREZ CARREON:MUJER:8:1
PJ:BRAVOS:PENAL:ABEL AMADOR ALONSO:HOMBRE:8:1
PEJ:BRAVOS:PENAL:GABRIEL ALBERTO ANAYA ALVARADO:HOMBRE:8:1
PEJ:BRAVOS:PENAL:BRENDA ARMENDARIZ MATA:MUJER:8:1
PE:BRAVOS:PENAL:JOSE MARCO ARREDONDO AVILA:HOMBRE:8:1
PJ:BRAVOS:PENAL:KAREN ARTEAGA RIVAS:MUJER:8:1
EF:BRAVOS:PENAL:ROSA AMELIA BAILON PAYAN:MUJER:8:1
EF:BRAVOS:PENAL:LIZBETH MARBELLA DEL CARMEN BARRAZA MORALES:MUJER:8:1
PJ:BRAVOS:PENAL:EDGARDO BARRIENTOS PEREZ:HOMBRE:8:1
PELJ:BRAVOS:PENAL:MARCO ANTONIO CALDERON FERNANDEZ:HOMBRE:8:1
PELJ:BRAVOS:PENAL:CRISTIAN EMMANUEL CAMPOS CORONADO:HOMBRE:8:1
EF:BRAVOS:PENAL:RAQUEL CARLOS AVILA:MUJER:8:1
PEL:BRAVOS:PENAL:MARÍA CONCEPCIÓN CARRILLO PARGA:MUJER:8:1
PJ:BRAVOS:PENAL:EDITH JOANNA CASTRUITA VALENCIANO:MUJER:8:1
PELJ:BRAVOS:PENAL:EDEN SERVANDO CERINO NIETO:HOMBRE:8:1
PJ:BRAVOS:PENAL:ADRIANA ANAHI CERVANTES SANTIAGO:MUJER:8:1
PJ:BRAVOS:PENAL:MARTHA ELENA CERVANTES PARRA:MUJER:8:1
EF:BRAVOS:PENAL:ERNESTO CHAVEZ GONZALEZ:HOMBRE:8:1
PJ:BRAVOS:PENAL:FERNANDO DAVALOS MEDINA:HOMBRE:8:1
PELJ:BRAVOS:PENAL:HECTOR JOSUE DE LUNA LEON:HOMBRE:8:1
PE:BRAVOS:PENAL:SILVIA ROCIO DELGADO GARCIA:MUJER:8:1
PEL:BRAVOS:PENAL:MAURICIO HIPOLITO DOMINGUEZ GARCIA:HOMBRE:8:1
PJ:BRAVOS:PENAL:JULIETA JAQUELINE DOMINGUEZ BENAVENTE:MUJER:8:1
EF:BRAVOS:PENAL:DANIEL ESCOBAR GARCIA:HOMBRE:8:1
PJ:BRAVOS:PENAL:EDMUNDO ESCUDERO MORALES:HOMBRE:8:1
PJ:BRAVOS:PENAL:KENNIA ESPINO HERNANDEZ:MUJER:8:1
PLJ:BRAVOS:PENAL:JESÚS DANIEL ESTRADA ARELLANO:HOMBRE:8:1
PE:BRAVOS:PENAL:LUIS FLORES SANTILLAN:HOMBRE:8:1
EF:BRAVOS:PENAL:RIGOBERTO ISAIAS FLORES GOMEZ:HOMBRE:8:1
PLJ:BRAVOS:PENAL:CYNTYA FRAYRE GRANADOS:MUJER:8:1
PJ:BRAVOS:PENAL:OSCAR GALAVIZ PAULIN:HOMBRE:8:1
PJ:BRAVOS:PENAL:DIEGO GARCIA HIDROGO:HOMBRE:8:1
PELJ:BRAVOS:PENAL:CRISTIAN JONATHAN GASCA NUÑEZ:HOMBRE:8:1
PEJ:BRAVOS:PENAL:GABRIELA LIZETH GOMEZ GARCIA:MUJER:8:1
EF:BRAVOS:PENAL:JORGE ENRIQUE GONZALEZ RODRIGUEZ:HOMBRE:8:1
PL:BRAVOS:PENAL:ALONSO IRAM GONZÁLEZ GONZALEZ:HOMBRE:8:1
PELJ:BRAVOS:PENAL:ALAIN ALEJANDRO GONZÁLEZ IBARRA:HOMBRE:8:1
PELJ:BRAVOS:PENAL:ANA GRISELDA GONZALEZ TORRES:MUJER:8:1
EF:BRAVOS:PENAL:FELIX AURELIO GUERRA SALAZAR:HOMBRE:8:1
PEL:BRAVOS:PENAL:FRANCISCO JAVIER GUERRERO OLIVAS:HOMBRE:8:1
PELJ:BRAVOS:PENAL:MARIA VIANNEY GUTIERREZ PORTILLO:MUJER:8:1
PEL:BRAVOS:PENAL:OSCAR GERARDO HERMOSILLO GOMEZ:HOMBRE:8:1
PJ:BRAVOS:PENAL:HECTOR OMAR HERNANDEZ HERNANDEZ:HOMBRE:8:1
PELJ:BRAVOS:PENAL:NANCY DENISSE JIMENEZ AGUIRRE:MUJER:8:1
PL:BRAVOS:PENAL:CESAR ENRIQUE JUAREZ:HOMBRE:8:1
PELJ:BRAVOS:PENAL:JOSE EDUARDO LIMON CAMACHO:HOMBRE:8:1
PJ:BRAVOS:PENAL:MARTINA ELVIRA LOPEZ MONTAÑEZ:MUJER:8:1
PJ:BRAVOS:PENAL:MARISELA IVETH MACHADO CHAVEZ:MUJER:8:1
PELJ:BRAVOS:PENAL:ALEJANDRA TERESA MARIN ROMO:MUJER:8:1
PJ:BRAVOS:PENAL:PAULINA MARTINEZ HERNANDEZ:MUJER:8:1
PJ:BRAVOS:PENAL:IDALIA MARTINEZ MOLINA:MUJER:8:1
EF:BRAVOS:PENAL:JESUS MANUEL MEDINA PARRA:HOMBRE:8:1
EF:BRAVOS:PENAL:BRISA YADIRA MERAZ MENDOZA:MUJER:8:1
PL:BRAVOS:PENAL:JESUS MORENO CANO:HOMBRE:8:1
PJ:BRAVOS:PENAL:VICTOR FABIAN MUÑOZ OCHOA:HOMBRE:8:1
PJ:BRAVOS:PENAL:ENID IVONNE OCHOA ORDUÑO:MUJER:8:1
EF:BRAVOS:PENAL:JANNET ISELA ONTIVEROS PONCE DE LEON:MUJER:8:1
PEL:BRAVOS:PENAL:NANCY ORDOÑEZ HERNANDEZ:MUJER:8:1
PJ:BRAVOS:PENAL:DALILA ESMERALDA ORTEGA AYALA:MUJER:8:1
PEJ:BRAVOS:PENAL:RAUL PALOS PACHECO:HOMBRE:8:1
PELJ:BRAVOS:PENAL:JUANA IRIS QUIÑONES RIVAS:MUJER:8:1
EF:BRAVOS:PENAL:DANYA GUADALUPE RAMOS RODRIGUEZ:MUJER:8:1
PEL:BRAVOS:PENAL:EMMANUEL SALVADOR RANGEL AVALOS:HOMBRE:8:1
PELJ:BRAVOS:PENAL:JUAN ANTONIO RIESTRA RAMOS:HOMBRE:8:1
EF:BRAVOS:PENAL:MONSERRAT ROBLES RAMIREZ:MUJER:8:1
EF:BRAVOS:PENAL:MYRNA LUZ ROCHA PINEDA:MUJER:8:1
PELJ:BRAVOS:PENAL:MICHELLE GLORIA ESTELA RODARTE LOPEZ:MUJER:8:1
EF:BRAVOS:PENAL:CARLOS JAIME RODRIGUEZ GARCIA:HOMBRE:8:1
EF:BRAVOS:PENAL:VICTOR IVAN RODRIGUEZ TREJO:HOMBRE:8:1
PL:BRAVOS:PENAL:TANIA ALEJANDRA RUELAS MÁRQUEZ:MUJER:8:1
PJ:BRAVOS:PENAL:NALLELY ARIZBETH SANTIAGO DOMINGUEZ:MUJER:8:1
PEL:BRAVOS:PENAL:CLAUDIA JENNIFER SIFUENTES ESPARZA:MUJER:8:1
EF:BRAVOS:PENAL:DIRCEU ISMAEL SOLIS MENDOZA:HOMBRE:8:1
EF:BRAVOS:PENAL:LUIS MAURILIO TERAN MURILLO:HOMBRE:8:1
EF:BRAVOS:PENAL:CLAUDIA ISLA URRIETA BARRAZA:MUJER:8:1
EF:BRAVOS:PENAL:AIDA VAZQUEZ ARREOLA:MUJER:8:1
PELJ:BRAVOS:PENAL:MARIBEL VEGA CHAVEZ:MUJER:8:1
PELJ:BRAVOS:PENAL:ROSA ANGELICA VELEZ SOLORZANO:MUJER:8:1
PL:BRAVOS:PENAL:ALDO URIEL VILLANUEVA PEREZ:HOMBRE:8:1
EF:BRAVOS:PENAL:ENRIQUE VILLARREAL DIAZ:HOMBRE:8:1
PEJ:BRAVOS:PENAL:BLANCA ZAVALA ESQUIVEL:MUJER:8:1
PJ:BRAVOS:PENAL:EVANGELINA ZUÑIGA ORTIZ:MUJER:8:1
PELJ:BRAVOS:CIVIL:IRMA LETICIA ARANGO RIVERA:MUJER:8:1
PELJ:BRAVOS:CIVIL:ALBERTO HIRAM ARROYO:HOMBRE:8:1
PL:BRAVOS:CIVIL:OMAR GERARDO BAQUIER OROZCO:HOMBRE:8:1
PJ:BRAVOS:CIVIL:DAVID ALBINO BUSTILLOS DIAZ:HOMBRE:8:1
EF:BRAVOS:CIVIL:JOSE EMILIANO CARDOZA ESTRADA:HOMBRE:8:1
PELJ:BRAVOS:CIVIL:JOSE CHAPARRO SANCHEZ:HOMBRE:8:1
PELJ:BRAVOS:CIVIL:NORMA CONSUELO CHÁVEZ PANDO:MUJER:8:1
PJ:BRAVOS:CIVIL:LUIS FERNANDO CORRAL FLORES:HOMBRE:8:1
PJ:BRAVOS:CIVIL:ALEJANDRO DE LA ROSA GUTIERREZ:HOMBRE:8:1
PELJ:BRAVOS:CIVIL:JOVANA DE REZA DE SANTIAGO:MUJER:8:1
PL:BRAVOS:CIVIL:SANTIAGO DELGADO MARTINEZ:HOMBRE:8:1
EF:BRAVOS:CIVIL:IVAN ERIVES BURGOS:HOMBRE:8:1
PJ:BRAVOS:CIVIL:ILSE PAMELA FLORES CANO:MUJER:8:1
PELJ:BRAVOS:CIVIL:PALOMA BERENICE GALINDO VARGAS:MUJER:8:1
PELJ:BRAVOS:CIVIL:LIDIA HERNANDEZ BARRAZA:MUJER:8:1
PELJ:BRAVOS:CIVIL:CONSTANTINO HERNANDEZ LOPEZ:HOMBRE:8:1
EF:BRAVOS:CIVIL:CYNTHIA LILIANA NAJERA NAJERA:MUJER:8:1
PL:BRAVOS:CIVIL:MARTIN PACHECO HERNÁNDEZ:HOMBRE:8:1
EF:BRAVOS:CIVIL:PAOLA LIZETH PEREZ CHAVEZ:MUJER:8:1
PELJ:BRAVOS:CIVIL:JENNIFER RUBI PORTILLO SALINAS:MUJER:8:1
EF:BRAVOS:CIVIL:GLEN RIGGS ACOSTA:HOMBRE:8:1
PJ:BRAVOS:CIVIL:CLAUDIA LORENA RIVERA RIVERA:MUJER:8:1
PELJ:BRAVOS:CIVIL:ROSA ELENA RIVERA RODRÍGUEZ:MUJER:8:1
EF:BRAVOS:CIVIL:PERLA PATRICIA ROYVAL GUERRERO:MUJER:8:1
PELJ:BRAVOS:CIVIL:ALEJANDRO SAENZ ESTRADA:HOMBRE:8:1
PJ:BRAVOS:CIVIL:JOB GIBRAN SANTILLANES RODRIGUEZ:HOMBRE:8:1
PELJ:BRAVOS:CIVIL:RUBÉN TREJO ORTEGA:HOMBRE:8:1
PJ:BRAVOS:CIVIL:ANASTACIO XIMEO BLAS:HOMBRE:8:1
PJ:BRAVOS:FAMILIAR:JOSE MIGUEL ARELLANO SOSA:HOMBRE:8:1
PELJ:BRAVOS:FAMILIAR:MIGUEL ANGEL ARGUELLES PACHECO:HOMBRE:8:1
PE:BRAVOS:FAMILIAR:MARTIN ARRIAGA ROJO:HOMBRE:8:1
PELJ:BRAVOS:FAMILIAR:VICTOR ALBERTO ARRIETA SANDOVAL:HOMBRE:8:1
EF:BRAVOS:FAMILIAR:CRISTINA IVONNE BORUNDA CARRASCO:MUJER:8:1
PL:BRAVOS:FAMILIAR:JESUS HIRAM CAMARILLO SILERIO:HOMBRE:8:1
PJ:BRAVOS:FAMILIAR:FATIMA EDITH CARMONA SALAZAR:MUJER:8:1
PELJ:BRAVOS:FAMILIAR:CARLOS ARMANDO CHACÓN RODRÍGUEZ:HOMBRE:8:1
PJ:BRAVOS:FAMILIAR:MIRIAM AZUCENA DE LA ROSA DE LA ROSA:MUJER:8:1
PL:BRAVOS:FAMILIAR:RICARDO DE LA ROSA ZAMARRON:HOMBRE:8:1
PJ:BRAVOS:FAMILIAR:JAIME DIAZ MONTEJO:HOMBRE:8:1
PL:BRAVOS:FAMILIAR:MAURA DEL CARMEN GONZALEZ BARRIOS:MUJER:8:1
PEJ:BRAVOS:FAMILIAR:DAVID UZZIEL HERNÁNDEZ MENDOZA:HOMBRE:8:1
EF:BRAVOS:FAMILIAR:TANIA SUGEY HERNANDEZ AYALA:MUJER:8:1
PELJ:BRAVOS:FAMILIAR:ERICK ALBERTO IBARBO DE LA CERDA:HOMBRE:8:1
EF:BRAVOS:FAMILIAR:JULIO CESAR LASTRA FLORES:HOMBRE:8:1
PELJ:BRAVOS:FAMILIAR:ALICIA LUNA ORTEGA:MUJER:8:1
PL:BRAVOS:FAMILIAR:PERLA YANET MARQUEZ RODRIGUEZ:MUJER:8:1
EF:BRAVOS:FAMILIAR:ABIGAIL MARTINEZ RUVALCABA:MUJER:8:1
PJ:BRAVOS:FAMILIAR:ADELA MENDOZA VELAZQUEZ:MUJER:8:1
PELJ:BRAVOS:FAMILIAR:YAZMIN ELI MONTOYA CHAVEZ:MUJER:8:1
EF:BRAVOS:FAMILIAR:DANIEL MORALES FLORES:HOMBRE:8:1
PJ:BRAVOS:FAMILIAR:ROBERTO PEDRAZA AVILES:HOMBRE:8:1
PELJ:BRAVOS:FAMILIAR:KARLA DANIELA REYES HERNANDEZ:MUJER:8:1
PJ:BRAVOS:FAMILIAR:OBED ALEJANDRO RIVERA CORCHADO:HOMBRE:8:1
PL:BRAVOS:FAMILIAR:ARLETT SANCHEZ PEREZ:MUJER:8:1
PEL:BRAVOS:FAMILIAR:RAQUEL IVONNE SANTAMARIA BARRAZA:MUJER:8:1
PJ:BRAVOS:FAMILIAR:JOSE FRANCISCO SOLORZANO OBREGON:HOMBRE:8:1
PELJ:BRAVOS:FAMILIAR:CESAR DAVID VALDEZ LOPEZ:HOMBRE:8:1
PE:BRAVOS:FAMILIAR:ALEJANDRA VARELA MENDIAS:MUJER:8:1
PJ:BRAVOS:FAMILIAR:HAYDEE VAZQUEZ GONZALEZ:MUJER:8:1
PEL:BRAVOS:FAMILIAR:ALEJANDRO ZEPEDA RAMÍREZ:HOMBRE:8:1
EF:BRAVOS:LABORAL:RAFAEL ALVIDREZ ESCALANTE:HOMBRE:8:1
EF:BRAVOS:LABORAL:ADRIANA CARRANZA CARRASCO:MUJER:8:1
EF:BRAVOS:LABORAL:KAREN PAOLA DE LA ROSA ANDAZOLA:MUJER:8:1
EF:BRAVOS:LABORAL:EDGAR OMAR GARCIA CARDONA:HOMBRE:8:1
PE:BRAVOS:LABORAL:TOMAS AGUSTIN HERNANDEZ HERNANDEZ:HOMBRE:8:1
PELJ:BRAVOS:LABORAL:CARLOS HUMBERTO HERNÁNDEZ OCHOA:HOMBRE:8:1
PL:BRAVOS:LABORAL:GLORIA ELIZABETH HOLGUÍN TREJO:MUJER:8:1
EF:BRAVOS:LABORAL:KARLA LUGO HERNANDEZ:MUJER:8:1
PJ:BRAVOS:LABORAL:MAYRA VERONICA MARTINEZ MADRID:MUJER:8:1
